pokedex_number,name,generation,status,type_number,type_1,type_2,total_points,hp,attack,defense,sp_attack,sp_defense,speed,catch_rate,against_normal,against_fire,against_water,against_electric,against_grass,against_ice,against_fight,against_poison,against_ground,against_flying,against_psychic,against_bug,against_rock,against_ghost,against_dragon,against_dark,against_steel,against_fairy
25,Partner Pikachu,1,Normal,1,Electric,,430,45,80,50,75,60,120,190,1,1,1,0,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1
26,Raichu,1,Normal,1,Electric,,485,60,90,55,90,80,110,75,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1
26,Alolan Raichu,7,Normal,2,Electric,Psychic,485,60,85,50,95,85,110,75,1,1,1,0,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1
27,Sandshrew,1,Normal,1,Ground,,300,50,75,85,20,30,40,255,1,1,2,0,2,2,1,0.5,1,1,1,1,0.5,1,1,1,1,1
27,Alolan Sandshrew,7,Normal,2,Ice,Steel,300,50,75,90,10,35,40,255,0.5,4,1,1,0.5,0.25,4,0,2,0.5,0.5,0.5,1,1,0.5,1,1,0.5
28,Sandslash,1,Normal,1,Ground,,450,75,100,110,45,55,65,90,1,1,2,0,2,2,1,0.5,1,1,1,1,0.5,1,1,1,1,1
28,Alolan Sandslash,7,Normal,2,Ice,Steel,450,75,100,120,25,65,65,90,0.5,4,1,1,0.5,0.25,4,0,2,0.5,0.5,0.5,1,1,0.5,1,1,0.5
29,Nidoran Male,1,Normal,1,Poison,,275,55,47,52,40,40,41,235,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5
30,Nidorina,1,Normal,1,Poison,,365,70,62,67,55,55,56,120,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5
31,Nidoqueen,1,Normal,2,Poison,Ground,505,90,92,87,75,85,76,45,1,1,2,0,1,2,0.5,0.25,2,1,2,0.5,0.5,1,1,1,1,0.5
32,Nidoran Female,1,Normal,1,Poison,,273,46,57,40,40,40,50,235,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5
33,Nidorino,1,Normal,1,Poison,,365,61,72,57,55,55,65,120,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5
34,Nidoking,1,Normal,2,Poison,Ground,505,81,102,77,85,75,85,45,1,1,2,0,1,2,0.5,0.25,2,1,2,0.5,0.5,1,1,1,1,0.5
35,Clefairy,1,Normal,1,Fairy,,323,70,45,48,60,65,35,150,1,1,1,1,1,1,0.5,2,1,1,1,0.5,1,1,0,0.5,2,1
36,Clefable,1,Normal,1,Fairy,,483,95,70,73,95,90,60,25,1,1,1,1,1,1,0.5,2,1,1,1,0.5,1,1,0,0.5,2,1
37,Vulpix,1,Normal,1,Fire,,299,38,41,40,50,65,65,190,1,0,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5
37,Alolan Vulpix,7,Normal,1,Ice,,299,38,41,40,50,65,65,190,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5
38,Ninetales,1,Normal,1,Fire,,505,73,76,75,81,100,100,75,1,0,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5
38,Alolan Ninetales,7,Normal,2,Ice,Fairy,505,73,67,75,81,100,109,75,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5
39,Jigglypuff,1,Normal,2,Normal,Fairy,270,115,45,20,45,25,20,170,1,1,1,1,1,1,1,2,1,1,1,0.5,1,0,0,0.5,2,1
40,Wigglytuff,1,Normal,2,Normal,Fairy,435,140,70,45,85,50,45,50,1,1,1,1,1,1,1,2,1,1,1,0.5,1,0,0,0.5,2,1
41,Zubat,1,Normal,2,Poison,Flying,245,40,45,35,30,40,55,255,1,1,1,2,0.25,2,0.25,0.5,0,1,2,0.25,2,1,1,1,1,0.5
42,Golbat,1,Normal,2,Poison,Flying,455,75,80,70,65,75,90,90,1,1,1,2,0.25,2,0.25,0.5,0,1,2,0.25,2,1,1,1,1,0.5
43,Oddish,1,Normal,2,Grass,Poison,320,45,50,55,75,65,30,255,1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5
44,Gloom,1,Normal,2,Grass,Poison,395,60,65,70,85,75,40,120,1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5
45,Vileplume,1,Normal,2,Grass,Poison,490,75,80,85,110,90,50,45,1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5
46,Paras,1,Normal,2,Bug,Grass,285,35,70,55,45,55,25,190,1,4,0.5,0.5,0.25,2,0.5,2,0.25,4,1,2,2,1,1,1,1,1
47,Parasect,1,Normal,2,Bug,Grass,405,60,95,80,60,80,30,75,1,4,0.5,0.5,0.25,2,0.5,2,0.25,4,1,2,2,1,1,1,1,1
48,Venonat,1,Normal,2,Bug,Poison,305,60,55,50,40,55,45,190,1,2,1,1,0.25,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,0.5
49,Venomoth,1,Normal,2,Bug,Poison,450,70,65,60,90,75,90,75,1,2,1,1,0.25,1,0.25,0.5,1,2,2,0.5,2,1,1,1,1,0.5
50,Diglett,1,Normal,1,Ground,,265,10,55,25,35,45,95,255,1,1,2,0,2,2,1,0.5,1,1,1,1,0.5,1,1,1,1,1
50,Alolan Diglett,7,Normal,2,Ground,Steel,265,10,55,30,35,45,90,255,0.5,2,2,0,1,1,2,0,2,0.5,0.5,0.5,0.25,1,0.5,1,0.5,0.5
51,Dugtrio,1,Normal,1,Ground,,425,35,100,50,50,70,120,50,1,1,2,0,2,2,1,0.5,1,1,1,1,0.5,1,1,1,1,1
51,Alolan Dugtrio,7,Normal,2,Ground,Steel,425,35,100,60,50,70,110,50,0.5,2,2,0,1,1,2,0,2,0.5,0.5,0.5,0.25,1,0.5,1,0.5,0.5
52,Meowth,1,Normal,1,Normal,,290,40,45,35,40,40,90,255,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
52,Alolan Meowth,7,Normal,1,Dark,,290,40,35,35,50,40,90,255,1,1,1,1,1,1,2,1,1,1,0,2,1,0.5,1,0.5,1,2
52,Galarian Meowth,8,Normal,1,Steel,,290,50,65,55,40,40,40,,0.5,2,1,1,0.5,0.5,2,0,2,0.5,0.5,0.5,0.5,1,0.5,1,0.5,0.5
53,Persian,1,Normal,1,Normal,,440,65,70,60,65,65,115,90,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
53,Alolan Persian,7,Normal,1,Dark,,440,65,60,60,75,65,115,90,1,1,1,1,1,1,2,1,1,1,0,2,1,0.5,1,0.5,1,2
54,Psyduck,1,Normal,1,Water,,320,50,52,48,65,50,55,190,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
55,Golduck,1,Normal,1,Water,,500,80,82,78,95,80,85,75,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
56,Mankey,1,Normal,1,Fighting,,305,40,80,35,35,45,70,190,1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2
57,Primeape,1,Normal,1,Fighting,,455,65,105,60,60,70,95,75,1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2
58,Growlithe,1,Normal,1,Fire,,350,55,70,45,70,50,60,190,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5
59,Arcanine,1,Normal,1,Fire,,555,90,110,80,100,80,95,75,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5
60,Poliwag,1,Normal,1,Water,,300,40,50,40,40,40,90,255,1,0.5,0,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
61,Poliwhirl,1,Normal,1,Water,,385,65,65,65,50,50,90,120,1,0.5,0,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
62,Poliwrath,1,Normal,2,Water,Fighting,510,90,95,95,70,90,70,45,1,0.5,0,2,2,0.5,1,1,1,2,2,0.5,0.5,1,1,0.5,0.5,2
63,Abra,1,Normal,1,Psychic,,310,25,20,15,105,55,90,200,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,1
64,Kadabra,1,Normal,1,Psychic,,400,40,35,30,120,70,105,100,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,1
65,Alakazam,1,Normal,1,Psychic,,500,55,50,45,135,95,120,50,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,1
65,Mega Alakazam,6,Normal,1,Psychic,,600,55,50,65,175,105,150,50,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,1
66,Machop,1,Normal,1,Fighting,,305,70,80,50,35,35,35,180,1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2
67,Machoke,1,Normal,1,Fighting,,405,80,100,70,50,60,45,90,1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2
68,Machamp,1,Normal,1,Fighting,,505,90,130,80,65,85,55,45,1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2
69,Bellsprout,1,Normal,2,Grass,Poison,300,50,75,35,70,30,40,255,1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5
70,Weepinbell,1,Normal,2,Grass,Poison,390,65,90,50,85,45,55,120,1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5
71,Victreebel,1,Normal,2,Grass,Poison,490,80,105,65,100,70,70,45,1,2,0.5,0.5,0.25,2,0.5,1,1,2,2,1,1,1,1,1,1,0.5
72,Tentacool,1,Normal,2,Water,Poison,335,40,40,35,50,100,70,190,1,0.5,0.5,2,1,0.5,0.5,0.5,2,1,2,0.5,1,1,1,1,0.5,0.5
73,Tentacruel,1,Normal,2,Water,Poison,515,80,70,65,80,120,100,60,1,0.5,0.5,2,1,0.5,0.5,0.5,2,1,2,0.5,1,1,1,1,0.5,0.5
74,Geodude,1,Normal,2,Rock,Ground,300,40,80,100,30,30,20,255,0.5,0.5,4,0,4,2,2,0.25,2,0.5,1,1,0.5,1,1,1,2,1
74,Alolan Geodude,7,Normal,2,Rock,Electric,300,40,80,100,30,30,20,255,0.5,0.5,2,0.5,2,1,2,0.5,4,0.25,1,1,1,1,1,1,1,1
75,Graveler,1,Normal,2,Rock,Ground,390,55,95,115,45,45,35,120,0.5,0.5,4,0,4,2,2,0.25,2,0.5,1,1,0.5,1,1,1,2,1
75,Alolan Graveler,7,Normal,2,Rock,Electric,390,55,95,115,45,45,35,120,0.5,0.5,2,0.5,2,1,2,0.5,4,0.25,1,1,1,1,1,1,1,1
76,Golem,1,Normal,2,Rock,Ground,495,80,120,130,55,65,45,45,0.5,0.5,4,0,4,2,2,0.25,2,0.5,1,1,0.5,1,1,1,2,1
76,Alolan Golem,7,Normal,2,Rock,Electric,495,80,120,130,55,65,45,45,0.5,0.5,2,0.5,2,1,2,0.5,4,0.25,1,1,1,1,1,1,1,1
77,Ponyta,1,Normal,1,Fire,,410,50,85,55,65,65,90,190,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5
77,Galarian Ponyta,8,Normal,1,Psychic,,410,50,85,55,65,65,90,,1,0,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5
78,Rapidash,1,Normal,1,Fire,,500,65,100,70,80,80,105,60,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5
78,Galarian Rapidash,8,Normal,2,Psychic,Fairy,500,65,100,70,80,80,105,,1,0,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5
79,Slowpoke,1,Normal,2,Water,Psychic,315,90,65,65,40,40,15,190,1,0.5,0.5,2,2,0.5,0.5,1,1,1,0.5,2,1,2,1,2,0.5,1
80,Slowbro,1,Normal,2,Water,Psychic,490,95,75,110,100,80,30,75,1,0.5,0.5,2,2,0.5,0.5,1,1,1,0.5,2,1,2,1,2,0.5,1
80,Mega Slowbro,6,Normal,2,Water,Psychic,590,95,75,180,130,80,30,75,1,0.5,0.5,2,2,0.5,0.5,1,1,1,0.5,2,1,2,1,2,0.5,1
81,Magnemite,1,Normal,2,Electric,Steel,325,25,35,70,95,55,45,190,0.5,2,1,0.5,0.5,0.5,2,0,4,0.25,0.5,0.5,0.5,1,0.5,1,0.25,0.5
82,Magneton,1,Normal,2,Electric,Steel,465,50,60,95,120,70,70,60,0.5,2,1,0.5,0.5,0.5,2,0,4,0.25,0.5,0.5,0.5,1,0.5,1,0.25,0.5
83,Farfetch'd,1,Normal,2,Normal,Flying,377,52,90,55,58,62,60,45,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1
83,Galarian Farfetch'd,8,Normal,1,Fighting,,377,52,95,55,58,62,55,,1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2
84,Doduo,1,Normal,2,Normal,Flying,310,35,85,45,35,35,75,190,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1
85,Dodrio,1,Normal,2,Normal,Flying,470,60,110,70,60,60,110,45,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1
86,Seel,1,Normal,1,Water,,325,65,45,55,45,70,45,190,1,0.25,0.5,2,2,0.25,1,1,1,1,1,1,1,1,1,1,0.5,1
87,Dewgong,1,Normal,2,Water,Ice,475,90,70,80,70,95,70,75,1,0.5,0.5,2,2,0.125,2,1,1,1,1,1,2,1,1,1,1,1
88,Grimer,1,Normal,1,Poison,,325,80,80,50,40,50,25,190,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5
88,Alolan Grimer,7,Normal,2,Poison,Dark,325,80,80,50,40,50,25,190,1,1,1,1,0.5,1,1,0.5,2,1,0,1,1,0.5,1,0.5,1,1
89,Muk,1,Normal,1,Poison,,500,105,105,75,65,100,50,75,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5
89,Alolan Muk,7,Normal,2,Poison,Dark,500,105,105,75,65,100,50,75,1,1,1,1,0.5,1,1,0.5,2,1,0,1,1,0.5,1,0.5,1,1
90,Shellder,1,Normal,1,Water,,305,30,65,100,45,25,40,190,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
91,Cloyster,1,Normal,2,Water,Ice,525,50,95,180,85,45,70,60,1,1,0.5,2,2,0.25,2,1,1,1,1,1,2,1,1,1,1,1
92,Gastly,1,Normal,2,Ghost,Poison,310,30,35,30,100,35,80,190,0,1,1,1,0.5,1,0,0.25,0,1,2,0.25,1,2,1,2,1,0.5
93,Haunter,1,Normal,2,Ghost,Poison,405,45,50,45,115,55,95,90,0,1,1,1,0.5,1,0,0.25,0,1,2,0.25,1,2,1,2,1,0.5
94,Gengar,1,Normal,2,Ghost,Poison,500,60,65,60,130,75,110,45,0,1,1,1,0.5,1,0,0.25,2,1,2,0.25,1,2,1,2,1,0.5
94,Mega Gengar,6,Normal,2,Ghost,Poison,600,60,65,80,170,95,130,45,0,1,1,1,0.5,1,0,0.25,2,1,2,0.25,1,2,1,2,1,0.5
95,Onix,1,Normal,2,Rock,Ground,385,35,45,160,30,45,70,45,0.5,0.5,4,0,4,2,2,0.25,2,0.5,1,1,0.5,1,1,1,2,1
96,Drowzee,1,Normal,1,Psychic,,328,60,48,45,43,90,42,190,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,1
97,Hypno,1,Normal,1,Psychic,,483,85,73,70,73,115,67,75,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,1
98,Krabby,1,Normal,1,Water,,325,30,105,90,25,25,50,225,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
99,Kingler,1,Normal,1,Water,,475,55,130,115,50,50,75,60,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
100,Voltorb,1,Normal,1,Electric,,330,40,30,50,55,55,100,190,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1
101,Electrode,1,Normal,1,Electric,,490,60,50,70,80,80,150,60,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1
102,Exeggcute,1,Normal,2,Grass,Psychic,325,60,40,80,60,45,40,90,1,2,0.5,0.5,0.5,2,0.5,2,0.5,2,0.5,4,1,2,1,2,1,1
103,Exeggutor,1,Normal,2,Grass,Psychic,530,95,95,85,125,75,55,45,1,2,0.5,0.5,0.5,2,0.5,2,0.5,2,0.5,4,1,2,1,2,1,1
103,Alolan Exeggutor,7,Normal,2,Grass,Dragon,530,95,105,85,125,75,45,45,1,1,0.25,0.25,0.25,4,1,2,0.5,2,1,2,1,1,2,1,1,2
104,Cubone,1,Normal,1,Ground,,320,50,50,95,40,50,35,190,1,1,2,0,2,2,1,0.5,1,1,1,1,0.5,1,1,1,1,1
105,Marowak,1,Normal,1,Ground,,425,60,80,110,50,80,45,75,1,1,2,0,2,2,1,0.5,1,1,1,1,0.5,1,1,1,1,1
105,Alolan Marowak,7,Normal,2,Fire,Ghost,425,60,80,110,50,80,45,75,0,0.5,2,1,0.5,0.5,0,0.5,2,1,1,0.25,2,2,1,2,0.5,0.5
106,Hitmonlee,1,Normal,1,Fighting,,455,50,120,53,35,110,87,45,1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2
107,Hitmonchan,1,Normal,1,Fighting,,455,50,105,79,35,110,76,45,1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2
108,Lickitung,1,Normal,1,Normal,,385,90,55,75,60,75,30,45,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
109,Koffing,1,Normal,1,Poison,,340,40,65,95,60,45,35,190,1,1,1,1,0.5,1,0.5,0.5,0,1,2,0.5,1,1,1,1,1,0.5
110,Weezing,1,Normal,1,Poison,,490,65,90,120,85,70,60,60,1,1,1,1,0.5,1,0.5,0.5,0,1,2,0.5,1,1,1,1,1,0.5
110,Galarian Weezing,8,Normal,2,Poison,Fairy,490,65,90,120,85,70,60,,1,1,1,1,0.5,1,0.5,0.5,2,1,2,0.5,1,1,1,1,1,0.5
111,Rhyhorn,1,Normal,2,Ground,Rock,345,80,85,95,30,30,25,120,0.5,0.5,4,0,4,2,2,0.25,2,0.5,1,1,0.5,1,1,1,2,1
112,Rhydon,1,Normal,2,Ground,Rock,485,105,130,120,45,45,40,60,0.5,0.5,4,0,4,2,2,0.25,2,0.5,1,1,0.5,1,1,1,2,1
113,Chansey,1,Normal,1,Normal,,450,250,5,5,35,105,50,30,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
114,Tangela,1,Normal,1,Grass,,435,65,55,115,100,40,60,45,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1
115,Kangaskhan,1,Normal,1,Normal,,490,105,95,80,40,80,90,45,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
115,Mega Kangaskhan,6,Normal,1,Normal,,590,105,125,100,60,100,100,45,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
116,Horsea,1,Normal,1,Water,,295,30,40,70,70,25,60,225,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
117,Seadra,1,Normal,1,Water,,440,55,65,95,95,45,85,75,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
118,Goldeen,1,Normal,1,Water,,320,45,67,60,35,50,63,225,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
119,Seaking,1,Normal,1,Water,,450,80,92,65,65,80,68,60,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
120,Staryu,1,Normal,1,Water,,340,30,45,55,70,55,85,225,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1
121,Starmie,1,Normal,2,Water,Psychic,520,60,75,85,100,85,115,60,1,0.5,0.5,2,2,0.5,0.5,1,1,1,0.5,2,1,2,1,2,0.5,1
122,Mr. Mime,1,Normal,2,Psychic,Fairy,460,40,45,65,100,120,90,45,1,1,1,1,1,1,0.25,2,1,1,0.5,1,1,2,0,1,2,1
122,Galarian Mr. Mime,8,Normal,2,Psychic,Ice,460,50,65,65,90,90,100,,1,1,1,1,1,1,0.25,1.5,1,1,0.5,1,1,1.5,0,1,1.5,1
123,Scyther,1,Normal,2,Bug,Flying,500,70,110,80,55,80,105,45,1,2,1,2,0.25,2,0.25,1,0,2,1,0.5,4,1,1,1,1,1
124,Jynx,1,Normal,2,Ice,Psychic,455,65,50,35,115,95,95,45,1,2,1,1,1,0.5,1,1,1,1,0.5,2,2,2,1,2,2,1
125,Electabuzz,1,Normal,1,Electric,,490,65,83,57,95,85,105,45,1,1,1,0.5,1,1,1,1,2,0.5,1,1,1,1,1,1,0.5,1
126,Magmar,1,Normal,1,Fire,,495,65,95,57,100,85,93,45,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5
127,Pinsir,1,Normal,1,Bug,,500,65,125,100,55,70,85,45,1,2,1,1,0.5,1,0.5,1,0.5,2,1,1,2,1,1,1,1,1
127,Mega Pinsir,6,Normal,2,Bug,Flying,600,65,155,120,65,90,105,45,1,2,1,2,0.25,2,0.25,1,0,2,1,0.5,4,1,1,1,1,1
128,Tauros,1,Normal,1,Normal,,490,75,100,95,40,70,110,45,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1
